Period;Municipality;Neighbourhood;Sampling plot;Coordinates (Latitude);Coordinates (Longitude);Habitat type;Species;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
